ID,Case Number,Date,Block,IUCR,Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
12606132,JF129608,01/31/2022 11:50:00 AM,077XX S BURNHAM AVE,484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,FALSE,FALSE,421,4,7,43,08B,1196066,1854156,2022,2/7/2022 15:51,"(41.754691074, -87.557038686)"
12606703,JF130421,01/31/2022 09:00:00 PM,024XX N LOREL AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2515,25,30,19,6,1140310,1915737,2022,2/7/2022 15:51,"(41.924877313, -87.759863123)"
12606784,JF130475,01/31/2022 10:00:00 PM,035XX W 65TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,831,8,23,66,08A,1154037,1860958,2022,2/7/2022 15:51,"(41.774294286, -87.710882563)"
12606335,JF130088,01/31/2022 05:30:00 PM,089XX S CONSTANCE AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,413,4,8,48,20,1190075,1846027,2022,2/7/2022 15:51,"(41.732530586, -87.579254585)"
12606226,JF129927,01/31/2022 03:55:00 PM,034XX W DEVON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1711,17,50,13,14,1152306,1942213,2022,2/7/2022 15:51,"(41.997300625, -87.715082154)"
12606315,JF129994,01/31/2022 05:15:00 PM,055XX S ABERDEEN ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,712,7,16,68,10,1169930,1867969,2022,2/7/2022 15:51,"(41.793202868, -87.652418003)"
12605717,JF129205,01/31/2022 02:00:00 AM,002XX E 35TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,FALSE,FALSE,212,2,3,35,04B,1178613,1881840,2022,2/7/2022 15:51,"(41.831072943, -87.620156406)"
12607839,JF129733,01/31/2022 01:25:00 PM,017XX E 67TH ST,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,FALSE,TRUE,332,3,5,43,04B,1189137,1860906,2022,2/7/2022 15:51,"(41.773382411, -87.582214969)"
12605839,JF129386,01/31/2022 06:33:00 AM,012XX S WABASH AVE,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,131,1,3,33,08A,1176963,1894850,2022,2/7/2022 15:51,"(41.866810739, -87.625817031)"
12606025,JF129543,01/31/2022 01:15:00 AM,022XX S LOOMIS ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1235,12,25,31,6,1167376,1889516,2022,2/7/2022 15:51,"(41.852385211, -87.66116514)"
12606535,JF130196,01/31/2022 08:15:00 PM,058XX N SHERIDAN RD,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2022,20,48,77,08A,1168577,1938929,2022,2/7/2022 15:51,"(41.987951293, -87.655323262)"
12607665,JF130835,01/31/2022 01:30:00 PM,070XX S ARTESIAN AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,832,8,17,66,6,1161259,1857876,2022,2/7/2022 15:51,"(41.76569035, -87.684493052)"
12606622,JF130251,01/31/2022 10:10:00 PM,014XX W ERIE ST,031A,ROBBERY,ARMED - HANDGUN,OTHER (SPECIFY),FALSE,FALSE,1215,12,1,24,3,1166738,1904460,2022,2/7/2022 15:51,"(41.893406441, -87.663078485)"
12606216,JF129744,01/31/2022 01:59:00 PM,0000X E 44TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,215,2,3,38,15,1177228,1875861,2022,2/7/2022 15:51,"(41.814697508, -87.625418765)"
12606412,JF129348,01/31/2022 08:00:00 AM,017XX W WINNEMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2032,20,47,3,14,1164065,1933592,2022,2/7/2022 15:51,"(41.973403199, -87.672070215)"
12606551,JF130207,01/31/2022 09:06:00 PM,001XX N OGDEN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,TRUE,TRUE,1224,12,27,28,26,1166714,1901182,2022,2/7/2022 15:51,"(41.884411883, -87.663260639)"
12609635,JF133383,01/31/2022 03:20:00 PM,015XX E 55TH ST,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,FALSE,FALSE,234,2,5,41,6,1187450,1868839,2022,2/7/2022 15:51,"(41.795191456, -87.588146997)"
12605894,JF129346,01/31/2022 03:21:00 AM,005XX W 24TH PL,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,914,9,11,34,3,1172981,1888010,2022,2/7/2022 15:51,"(41.848130389, -87.640637875)"
12606598,JF130221,01/31/2022 09:06:00 PM,086XX S ABERDEEN ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,FALSE,FALSE,613,6,21,71,3,1170493,1847580,2022,2/7/2022 15:51,"(41.737240633, -87.650946671)"
12605980,JF129450,01/31/2022 09:36:00 AM,070XX S CRANDON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,331,3,5,43,08B,1192540,1858765,2022,2/7/2022 15:51,"(41.767425113, -87.56981026)"
12605753,JF129235,01/31/2022 04:00:00 AM,052XX S KEDZIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,FALSE,FALSE,923,9,14,63,14,1155937,1869636,2022,2/7/2022 15:51,"(41.798070027, -87.70368447)"
12606388,JF130140,01/31/2022 08:00:00 AM,079XX S MUSKEGON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,422,4,7,46,14,1196552,1852794,2022,2/7/2022 15:51,"(41.750941599, -87.555302816)"
12606253,JF129824,01/31/2022 02:45:00 PM,056XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,225,2,20,40,08B,1178117,1867739,2022,2/7/2022 15:51,"(41.79238986, -87.62240425)"
12606289,JF129906,01/31/2022 03:47:00 PM,030XX W NORTH SHORE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,2412,24,50,2,08B,1154520,1944550,2022,2/7/2022 15:51,"(42.003669302, -87.70687477)"
12609318,JF133672,01/31/2022 05:17:00 AM,038XX S WABASH AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,213,2,3,35,6,1177360,1879532,2022,2/7/2022 15:51,"(41.824768058, -87.624823541)"
12606608,JF130305,01/31/2022 10:55:00 PM,018XX S CALIFORNIA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,1023,10,24,29,26,1157986,1890861,2022,2/7/2022 15:51,"(41.856272565, -87.695592571)"
12606969,JF130711,01/31/2022 03:00:00 PM,055XX S UNION AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,TRUE,711,7,20,68,6,1172580,1868001,2022,2/7/2022 15:51,"(41.793232671, -87.642699804)"
12606372,JF130055,01/31/2022 04:35:00 PM,0000X W ADAMS ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,113,1,42,32,08B,1176215,1899450,2022,2/7/2022 15:51,"(41.879450304, -87.628424314)"
12606488,JF130156,01/31/2022 08:00:00 PM,0000X W 95TH ST,031A,ROBBERY,ARMED - HANDGUN,CTA STATION,FALSE,FALSE,511,5,21,49,3,1177703,1841947,2022,2/7/2022 15:51,"(41.721623049, -87.624701342)"
12606073,JF129617,01/31/2022 12:20:00 PM,014XX S RIDGEWAY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1011,10,24,29,14,1151613,1892711,2022,2/7/2022 15:51,"(41.861476693, -87.718936322)"
12606460,JF130124,01/31/2022 07:14:00 PM,064XX N ROCKWELL ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2412,24,50,2,08B,1157818,1942707,2022,2/7/2022 15:51,"(41.998545183, -87.694792033)"
12606118,JF129461,01/31/2022 04:30:00 AM,034XX N BELL AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,FALSE,TRUE,1921,19,32,5,04B,1160756,1922861,2022,2/7/2022 15:51,"(41.944026223, -87.684536946)"
12606719,JF130484,01/31/2022 10:30:00 PM,060XX S INDIANA AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,311,3,20,40,6,1178630,1865109,2022,2/7/2022 15:51,"(41.785161229, -87.620603115)"
12606011,JF129595,01/31/2022 11:56:00 AM,061XX S ASHLAND AVE,810,THEFT,OVER $500,GAS STATION,FALSE,FALSE,714,7,16,67,6,1166723,1864019,2022,2/7/2022 15:51,"(41.782432685, -87.664290466)"
12606759,JF130504,01/31/2022 10:00:00 PM,034XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,211,2,4,35,14,1179159,1882228,2022,2/7/2022 15:51,"(41.832125188, -87.618141264)"
12606192,JF129771,01/31/2022 09:00:00 AM,001XX W WASHINGTON ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,1,42,32,11,1175383,1900814,2022,2/7/2022 15:51,"(41.883211912, -87.631438294)"
12607176,JF129838,01/31/2022 02:30:00 PM,089XX S BUFFALO AVE,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,424,4,10,46,04B,1199596,1846366,2022,2/7/2022 15:51,"(41.733226633, -87.544364336)"
12605908,JF129470,01/31/2022 09:00:00 AM,022XX N LARAMIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2522,25,36,19,7,1141356,1914299,2022,2/7/2022 15:51,"(41.920912029, -87.756055169)"
12606397,JF130155,01/31/2022 06:45:00 PM,0000X W VAN BUREN ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESTAURANT,FALSE,FALSE,113,1,4,32,11,1176066,1898521,2022,2/7/2022 15:51,"(41.87690443, -87.628999406)"
12606557,JF130245,01/31/2022 09:36:00 PM,004XX E 75TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,323,3,6,69,14,1180632,1855387,2022,2/7/2022 15:51,"(41.758437308, -87.613561282)"
12606160,JF129813,01/31/2022 07:30:00 AM,049XX S HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,931,9,15,61,14,1163200,1871696,2022,2/7/2022 15:51,"(41.803573845, -87.676991943)"
12607166,JF129831,01/31/2022 03:15:00 PM,027XX E 127TH ST,460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,433,4,10,55,08B,1196310,1821356,2022,2/7/2022 15:51,"(41.664678717, -87.557227902)"
12606020,JF129565,01/31/2022 11:20:00 AM,018XX S BLUE ISLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,STREET,TRUE,FALSE,1233,12,25,31,26,1167207,1891266,2022,2/7/2022 15:51,"(41.857190995, -87.661735179)"
12606161,JF129713,01/31/2022 01:30:00 PM,047XX S COTTAGE GROVE AVE,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,223,2,4,38,6,1182389,1873821,2022,2/7/2022 15:51,"(41.808981361, -87.606551046)"
12607483,JF131316,01/31/2022 05:58:00 PM,0000X S HALSTED ST,810,THEFT,OVER $500,HOTEL / MOTEL,FALSE,FALSE,1232,12,27,28,6,1171057,1900082,2022,2/7/2022 15:51,"(41.881299246, -87.647344977)"
12606528,JF130210,01/31/2022 09:23:00 PM,016XX N MC VICKER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,TRUE,2513,25,29,25,14,1135831,1910190,2022,02/26/2022 03:48:14 PM,"(41.909736709, -87.776453593)"
12606101,JF129605,01/31/2022 11:00:00 AM,003XX E 133RD ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,533,5,9,54,26,1180670,1817201,2022,2/7/2022 15:51,"(41.65364899, -87.614590067)"
12606467,JF130089,01/31/2022 05:56:00 PM,009XX W 87TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,2222,22,21,71,24,1171405,1847141,2022,2/7/2022 15:51,"(41.736016065, -87.647618185)"
12608259,JF132271,01/31/2022 05:20:00 PM,015XX W AINSLIE ST,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,APARTMENT,FALSE,TRUE,2032,20,47,3,17,1165102,1933041,2022,2/7/2022 15:51,"(41.971869207, -87.668272662)"
12605661,JF129178,01/31/2022 12:05:00 AM,001XX W 35TH ST,560,ASSAULT,SIMPLE,CTA STATION,TRUE,FALSE,915,9,11,34,08A,1175739,1881773,2022,2/7/2022 15:51,"(41.830954079, -87.630703226)"
12606506,JF129887,01/31/2022 12:07:00 PM,026XX E 73RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,334,3,7,43,14,1194827,1857402,2022,2/7/2022 15:51,"(41.763628928, -87.561472426)"
12606586,JF130260,01/31/2022 10:46:00 PM,044XX W WILSON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1722,17,39,16,08B,1145857,1930203,2022,2/7/2022 15:51,"(41.96446967, -87.739112231)"
12605965,JF129585,01/31/2022 12:00:00 AM,040XX S INDIANA AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,213,2,3,38,6,1178264,1878334,2022,2/7/2022 15:51,"(41.821460144, -87.621543473)"
